SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,1,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
2,2,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
3,3,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
4,4,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
5,5,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
6,6,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
7,7,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
8,8,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
9,9,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
10,10,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
11,11,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
12,12,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
13,13,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
14,14,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
15,15,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
16,16,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
17,17,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
18,18,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
19,19,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
20,20,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
21,21,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
22,22,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
23,23,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
24,24,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
25,25,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
26,26,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
27,27,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
28,28,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,SC,Allotted
29,29,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
30,30,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
31,31,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
32,32,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
33,33,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,SC,Allotted
34,34,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
35,36,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
36,37,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
37,38,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
38,39,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
39,40,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
40,41,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
41,42,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
42,43,All India,"B J Medical College, Ahmedabad,B.J. Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016",MBBS,Open,General,Allotted
43,44,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
44,45,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
45,46,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
46,47,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
47,48,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
48,49,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
49,50,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
50,51,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,General,Allotted
51,52,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,Open,OBC,Allotted
52,53,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
53,54,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
54,55,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,SC,SC,Allotted
55,56,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
56,57,All India,"Government Medical College, Surat,Out Side Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001",MBBS,Open,General,Allotted
57,58,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
58,59,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
59,60,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
60,61,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
61,62,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
62,63,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203",MBBS,Open,General,Allotted
63,64,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
64,65,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
65,66,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
66,67,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR",MBBS,Open,General,Allotted
67,68,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
68,69,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
69,70,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
70,71,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
71,72,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
72,73,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
73,74,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
74,75,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
75,76,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,EWS,EWS,Allotted
76,77,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,SC,SC,Allotted
77,78,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
78,79,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
79,80,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",MBBS,Open,General,Allotted
80,81,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
81,82,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
82,83,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
83,84,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
84,85,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
85,86,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
86,87,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
87,88,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,OBC,Allotted
88,89,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
89,90,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL",MBBS,Open,General,Allotted
90,91,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
91,92,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
92,93,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
93,94,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
94,95,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
95,96,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
96,97,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
97,98,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
98,99,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
99,100,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
100,101,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
101,102,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
102,103,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
103,104,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
104,105,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
105,106,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
106,107,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
107,108,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
108,109,All India,"Bangalore Medical College and Research Institute, Bangalore,K R ROAD FORT BENGALURU",MBBS,Open,General,Allotted
109,110,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL",MBBS,Open,General,Allotted
110,111,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,EWS,EWS,Allotted
111,112,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
112,113,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,EWS,EWS,Allotted
113,114,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
114,115,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
115,116,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
116,117,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
117,118,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
118,119,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR",MBBS,Open,General,Allotted
119,120,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
120,121,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
121,122,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
122,123,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
123,124,All India,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
124,125,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
125,126,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
126,127,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
127,128,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
128,129,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
129,130,Delhi University Quota,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
130,131,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
131,132,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203",MBBS,Open,General,Allotted
132,133,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
133,134,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
134,135,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
135,136,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203",MBBS,Open,General,Allotted
136,137,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
137,138,Delhi University Quota,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
138,139,All India,"Government Medical College, Chandigarh,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH",MBBS,Open,General,Allotted
139,140,IP University Quota,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
140,141,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
141,142,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
142,143,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,SC,SC,Allotted
143,144,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
144,145,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
145,146,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,EWS,EWS,Allotted
146,147,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
147,148,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
148,149,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
149,150,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
150,151,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,SC,SC,Allotted
151,152,All India,"Maulana Azad Institute of Dental Sciences, New Delhi,MAMC Complex, B.S. Zafar Marg, New Delhi",BDS,Open,General,Allotted
152,153,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
153,154,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
154,155,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
155,156,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
156,157,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
157,158,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
158,159,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
159,160,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
160,161,IP University Quota,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,Allotted
161,162,Delhi University Quota,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
162,163,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
163,164,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
164,165,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
165,166,All India,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi",MBBS,Open,General,Allotted
166,167,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
167,168,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",MBBS,Open,OBC,Allotted
168,169,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
169,170,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",MBBS,Open,General,Allotted
170,171,Delhi University Quota,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
171,172,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
172,173,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
173,174,All India,"Government Medical College, Chandigarh,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH",MBBS,Open,General,Allotted
174,175,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005",MBBS,Open,General,Allotted
175,176,All India,"Medical College, Baroda,Government Medical College Baroda, Anandpura, Vadodara Pin No 390001",MBBS,Open,General,Allotted
176,177,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,EWS,EWS,Allotted
177,178,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",MBBS,Open,General,Allotted
178,179,All India,"Government Medical College, Chandigarh,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH",MBBS,Open,General,Allotted
179,180,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,SC,SC,Allotted
180,181,Delhi University Quota,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi",MBBS,Open,General,Allotted
181,182,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203",MBBS,Open,General,Allotted
182,183,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",MBBS,OBC,OBC,Allotted
